anime_id,title,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,premiered,studio,genre
1115,Handsome Girl,OVA,Manga,1,Finished Airing,5.85,982,7688.0,6610,2242,1,,J.C.Staff,"Romance, Shoujo"
28283,Sengoku Musou,TV,Game,12,Finished Airing,6.65,5042,4984.0,2957,16264,29,Winter 2015,TYO Animations,"Action, Historical, Samurai"
884,Shin Angyo Onshi,Movie,Manga,1,Finished Airing,6.95,7834,3757.0,3096,14769,25,,OLM Digital,"Action, Fantasy"
5661,Umi no Momotarou,Movie,Original,1,Finished Airing,4.72,407,9255.0,8866,726,0,,,Samurai
3425,Meiken Lassie,TV,Unknown,26,Finished Airing,6.86,83,4079.0,9663,466,0,Winter 1996,Nippon Animation,"Adventure, Slice of Life, Kids"
33572,Idol Memories,TV,Original,12,Finished Airing,5.35,882,8609.0,4378,6499,6,Fall 2016,Seven Arcs Pictures,Music
33338,One Piece: Heart of Gold,Special,Manga,1,Finished Airing,7.66,14749,1204.0,2205,27911,32,,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
11445,UFO Princess Valkyrie: Recap,Special,Manga,1,Finished Airing,6.4,304,6015.0,8350,960,0,,TNK,"Comedy, Romance, Sci-Fi"
10418,Deadman Wonderland: Akai Knife Tsukai,OVA,Manga,1,Finished Airing,7.08,56136,3255.0,906,95105,75,,Manglobe,"Action, Sci-Fi, Horror"
37097,Xiong Chumo Zhi: Guonian,Special,Original,1,Finished Airing,3.0,10,12710.0,14171,36,0,,,"Adventure, Comedy, Kids"
31859,Hai to Gensou no Grimgar,TV,Light novel,12,Finished Airing,7.83,179108,830.0,163,341166,3360,Winter 2016,A-1 Pictures,"Action, Adventure, Drama, Fantasy"
17245,Christmas,Music,Unknown,1,Finished Airing,5.58,301,8230.0,9417,530,1,,,"Music, Supernatural"
14753,Hori-san to Miyamura-kun,OVA,Web manga,3,Finished Airing,7.41,16746,1973.0,1794,39374,184,,Hoods Entertainment,"Comedy, Romance, School, Shounen"
1410,IGPX: Immortal Grand Prix (2005) 2nd Season,TV,Original,13,Finished Airing,7.36,4130,2189.0,4053,7926,26,Spring 2006,Production I.G,"Mecha, Sci-Fi, Shounen, Sports"
30408,Tokyo SOS,Movie,Unknown,1,Finished Airing,4.55,58,9346.0,12061,145,0,,,
36091,Ghana,Music,Music,1,Finished Airing,4.33,33,10217.0,13727,65,0,,,Music
33415,Shiritsu Liyon Gakuen,ONA,Original,0,Currently Airing,5.63,8,12102.0,12528,122,1,,,"Comedy, School"
9000,Toaru Hikuushi e no Tsuioku,Movie,Light novel,1,Finished Airing,7.75,16522,1007.0,1881,36647,120,,Madhouse,"Adventure, Military, Romance"
31128,Arslan Senki (TV): Dakkan no Yaiba,Special,Manga,1,Finished Airing,6.56,4154,5366.0,3824,9140,9,,"SANZIGEN, LIDENFILMS","Action, Adventure, Fantasy, Supernatural, Historical, Drama"
36269,Detective Conan: Anti-Crime Guide,OVA,Other,1,Finished Airing,6.85,91,4100.0,8340,967,2,,,Kids
20767,Noragami OVA,OVA,Manga,2,Finished Airing,7.9,90361,702.0,517,156077,261,,Bones,"Action, Adventure, Comedy, Supernatural, Shounen"
32904,Norimono Atsumare: Hit Song-shuu,OVA,Music,6,Finished Airing,4.27,11,11532.0,13485,77,0,,,Music
22419,Acchi Kocchi,Movie,Original,1,Finished Airing,7.4,1147,2005.0,4858,5031,46,,,Dementia
